src_id	verse_id	book	chapter	verse	english_text	nagamese_text
EN_NAG_00001	1CO_1_1	1 Corinthians	1	1	[English translation for 1 Corinthians 1:1]	Paul, Khrista Jisu pora Tai laga apostle hobole nimite junke Isor laga itcha pora he basi loise, aru amikhan laga bhai Sosthenes*, duijon pora,
EN_NAG_00002	1CO_1_2	1 Corinthians	1	2	[English translation for 1 Corinthians 1:2]	Corinth sheher te thaka Isor laga girja te, jun khan ke Khrista Jisu logot pobitro kori loise, jun khan ke pobitro hobo nimite matise, aru sob jagate thaka jun Khrista Jisu amikhan sob laga Probhu laga naam ke biswas kori loise.
EN_NAG_00003	1CO_1_3	1 Corinthians	1	3	[English translation for 1 Corinthians 1:3]	Amikhan laga Baba Isor ,aru Probhu Jisu Khrista laga naam pora anugrah aru shanti apnikhan uporte thakibo dibi. Dhanyavad
EN_NAG_00004	1CO_1_4	1 Corinthians	1	4	[English translation for 1 Corinthians 1:4]	Moi hodai apnikhan nimite ami laga Isor ke dhanyavad diye, kelemane Isor laga anugrah to apnikhan uporte Jisu Khrista dwara dise.
EN_NAG_00005	1CO_1_5	1 Corinthians	1	5	[English translation for 1 Corinthians 1:5]	Kilekoile sob te apnikhan ke Khrista pora dhuni bonai dise, sob kotha aru sob gyaan te,
EN_NAG_00006	1CO_1_6	1 Corinthians	1	6	[English translation for 1 Corinthians 1:6]	jineka amikhan pora apnikhan majote Khrista laga gawahi koi disele, etu to hosa hoise koi kene amikhan jani loise.
EN_NAG_00007	1CO_1_7	1 Corinthians	1	7	[English translation for 1 Corinthians 1:7]	Etu karone, apuni khan ke atmik bordan sob dikena ase, etu nimite amikhan laga Probhu * 1:1 Paul aru Sosthenes milikene chithi likha nohoi, Khali Sosthenes laga salam janai diya ase. I Corinthians 1:8 ii I Corinthians 1:15 Jisu Khrista ke dikhai nadiya din tak apnikhan rukhibole pare.
EN_NAG_00008	1CO_1_8	1 Corinthians	1	8	[English translation for 1 Corinthians 1:8]	Tai pora apnikhan ke ses din tak takot kori dibo, eneka hoile amikhan laga Probhu Jisu wapas aha dinte apnikhan eku bhi bodnam hoi kene nathakibo.
EN_NAG_00009	1CO_1_9	1 Corinthians	1	9	[English translation for 1 Corinthians 1:9]	Isor to hosa ase, jun pora apnikhan ke Tai laga Putro, Jisu Khrista amikhan laga Probhu laga sangoti te joma kori bole matise. Biswasi Majot Bhag Huwa
EN_NAG_00010	1CO_1_10	1 Corinthians	1	10	[English translation for 1 Corinthians 1:10]	Etiya, moi apnikhan ke utsah kori ase, bhai khan, Probhu Jisu Khrista laga naam te, apnikhan sob mon milai lobi, aru ta te apnikhan majote bhag nahobi, kintu apnikhan eke logote bhabona hobi aru ekta kaam te mili kene thakibi.
EN_NAG_00011	1CO_1_11	1 Corinthians	1	11	[English translation for 1 Corinthians 1:11]	Kilekoile bhai khan, Chloe laga kunba manu khan amike koise, apnikhan majote bhag hoi kene ase.
EN_NAG_00012	1CO_1_12	1 Corinthians	1	12	[English translation for 1 Corinthians 1:12]	Etiya moi laga motlob etu ase, apnikhan sob ekjon-ekjon he eneka koi ase, “Moi to Paul logot ase,” nohoile bhi “Moi Apollos logot ase,” nohoile bhi, “Moi Cephas logot ase,” nohoile bhi “Moi Khrista logot ase.”
EN_NAG_00013	1CO_1_13	1 Corinthians	1	13	[English translation for 1 Corinthians 1:13]	Khrista to alag-alag bhag hoise naki? Apnikhan nimite Paul to Cross te morise naki? Nahoile bhi apnikhan Paul laga naam pora baptizma loise?
EN_NAG_00014	1CO_1_14	1 Corinthians	1	14	[English translation for 1 Corinthians 1:14]	Moi Isor ke dhanyavad di ase kelemane moi apnikhan kunke bhi baptizma diya nai, khali Crispus aru Gaius ke nohoile,
EN_NAG_00015	1CO_1_15	1 Corinthians	1	15	[English translation for 1 Corinthians 1:15]	titia kun bhi apnike moi laga naam pora baptizma dise nakobo. I Corinthians 1:16 iii I Corinthians 1:22
EN_NAG_00016	1CO_1_16	1 Corinthians	1	16	[English translation for 1 Corinthians 1:16]	Moi bhi Stephanas laga ghor manu khan ke baptizma dise. Kintu etu pora dusra kunba khan ke moi pora baptizma diya to moi yaad nai.
EN_NAG_00017	1CO_1_17	1 Corinthians	1	17	[English translation for 1 Corinthians 1:17]	Kilekoile Khrista to amike baptizma kori bole patha nohoi, kintu Tai laga susamachar prochar kori bole- moike Tai laga kotha to chalak kotha pora kobole patha nohoi, eneka hoile Khrista laga Cross te hokti thaka to sob kaam nathaka hoi jabo. Khrista He Isor Laga Gyaan Aru Sakti Ase
EN_NAG_00018	1CO_1_18	1 Corinthians	1	18	[English translation for 1 Corinthians 1:18]	Kilekoile harai ja manu khan nimite Cross laga kotha to eku bhi motlob nai, kintu amikhan junke bachai loise, etu to Isor laga hokti ase.
EN_NAG_00019	1CO_1_19	1 Corinthians	1	19	[English translation for 1 Corinthians 1:19]	Kelemane Shastro te eneka likha ase, “Moi pora gyaani manu khan laga gyaan khotom kori dibo, Aru Moi pora buddhi manu khan ke bujhibo napara kori dibo†.”
EN_NAG_00020	1CO_1_20	1 Corinthians	1	20	[English translation for 1 Corinthians 1:20]	Kote ase gyaani manu? Kot te ase pura-likha manu? Kot te ase etu prithibi laga kotha bisi kora manu khan? Isor pora etu prithibi laga gyaan sob murkho te ulta kori dise nohoi?
EN_NAG_00021	1CO_1_21	1 Corinthians	1	21	[English translation for 1 Corinthians 1:21]	Kilekoile Isor laga buddhi te etu prithibi laga buddhi pora Isor ke jana nai, kintu jun manu khan Isor laga murkho kotha prochar kora ke biswas kore, Tai eitu khan ke bacha bole itcha thakise.
EN_NAG_00022	1CO_1_22	1 Corinthians	1	22	[English translation for 1 Corinthians 1:22]	Etu nimite Yehudi khan khali Tai laga asurit kaam khan he bisare aru Yunani khan Tai laga buddhi he bisare. † 1:19 Isa. 29:14. I Corinthians 1:23 iv I Corinthians 1:30
EN_NAG_00023	1CO_1_23	1 Corinthians	1	23	[English translation for 1 Corinthians 1:23]	Kintu amikhan Khrista ke Cross te morai diya he prochar kore, etu kotha khan Yehudi khan nimite digdari dise aru Yunani khan nimite murkho kotha ase.
EN_NAG_00024	1CO_1_24	1 Corinthians	1	24	[English translation for 1 Corinthians 1:24]	Kintu jun khan ke mati loise, Yehudi aru Yunani khan nimite bhi, Khrista to Isor laga hokti aru buddhiman ase.
EN_NAG_00025	1CO_1_25	1 Corinthians	1	25	[English translation for 1 Corinthians 1:25]	Kilekoile Isor laga murkho kotha khan to manu khan pora bhi buddhi ase, aru Isor laga komjur to manu khan pora bhi takot ase.
EN_NAG_00026	1CO_1_26	1 Corinthians	1	26	[English translation for 1 Corinthians 1:26]	Bhai khan Isor pora mati luwa to bhabi sabi, kele koile bisi manu khan apnikhan majote mangso hisab te buddhi thaka nai, apnikhan bisi bhak to hokti thaka nai, aru apnikhan bisi bhak to jonom pora untcha khandan pora aha nai.
EN_NAG_00027	1CO_1_27	1 Corinthians	1	27	[English translation for 1 Corinthians 1:27]	Kintu Isor pora prithibi laga gyaani khan ke sorom khila bole ki murkho ase eitu khan ke basi loise, eneka hoile gyaani khan ke sorom dibole nimite, aru Isor pora prithibi te komjur thaka jinis khan ke basi loise, eneka pora takot thaka khan ke sorom dibole.
EN_NAG_00028	1CO_1_28	1 Corinthians	1	28	[English translation for 1 Corinthians 1:28]	Isor pora juntu sobse niche ase aru kunke etu prithibi pora ghin kore, taikhan ke basi loise, aru kaam nathaka khan ke Isor pora basi loise, etu prithibi te thaka khan ke khotom kori dibo nimite,
EN_NAG_00029	1CO_1_29	1 Corinthians	1	29	[English translation for 1 Corinthians 1:29]	eneka hoile kun manu bhi Isor usorte phutani nakoribo.
EN_NAG_00030	1CO_1_30	1 Corinthians	1	30	[English translation for 1 Corinthians 1:30]	Kintu Tai nimite, apnikhan Jisu Khrista logote ase, Junke amikhan nimite Isor laga buddhiman bonai dise, ekjon dharmikta aru sapha bhi kori dise aru paap pora bachai loise. I Corinthians 1:31 v I Corinthians 2:7
EN_NAG_00031	1CO_2_31	1 Corinthians	2	31	[English translation for 1 Corinthians 2:31]	Etu karone, Shastro te eneka likhi kene ase, “Jun manu phutani kori ase, taike Probhu laga naam te he phutani koribo dibi‡.” 2 Cross Te Mora Khrista Prochar Kora
EN_NAG_00032	1CO_2_1	1 Corinthians	2	1	[English translation for 1 Corinthians 2:1]	Jitia moi apnikhan logote ahise, bhai khan, moi bisi kotha kobole jana nohoile bhi buddhi kotha khan pora Isor laga lukaikene thaka kotha prochar kori kene aha nohoi.
EN_NAG_00033	1CO_2_2	1 Corinthians	2	2	[English translation for 1 Corinthians 2:2]	Kilekoile moi nijor itcha pora apnikhan laga ki hoile bhi janibole mon thaka nai khali Jisu Khrista aru Taike Cross te morai diya laga he nohoile.
EN_NAG_00034	1CO_2_3	1 Corinthians	2	3	[English translation for 1 Corinthians 2:3]	Moi apnikhan logote komjur ,aru kapi kene bhoi te thakise.
EN_NAG_00035	1CO_2_4	1 Corinthians	2	4	[English translation for 1 Corinthians 2:4]	Moi laga kotha khan aru prochar khan buddhi laga kotha pora nohoi, kintu Isor laga Atma aru hokti pora kori kene dikhai dise,
EN_NAG_00036	1CO_2_5	1 Corinthians	2	5	[English translation for 1 Corinthians 2:5]	eneka hoile apnikhan laga biswas to mangso laga buddhi te nathakibo, kintu Isor laga hokti te thakibo. Atma Pora Aha Gyaan
EN_NAG_00037	1CO_2_6	1 Corinthians	2	6	[English translation for 1 Corinthians 2:6]	Etiya amikhan buddhi kotha kowa khan to buja manu khan majote kore, kintu etu jamana laga gyaan nohoi, nohoile bhi etu jamana laga cholawta, jun khan etu prithibi chari kene jai ase taikhan laga kotha nohoi.
EN_NAG_00038	1CO_2_7	1 Corinthians	2	7	[English translation for 1 Corinthians 2:7]	Hoilebi, amikhan Isor laga buddhiman to bujhi bole napara kotha nisena lukai kene koi, juntu Isor Tai laga kaam nimite amikhan laga ‡ 1:31 Jer .9:24; 2 Cor .10:17. I Corinthians 2:8 vi I Corinthians 2:14 prithibi nabona age pora basi kene taiyar kori loise.
EN_NAG_00039	1CO_2_8	1 Corinthians	2	8	[English translation for 1 Corinthians 2:8]	Etu jamana laga cholawta khan kun bhi itu gyaan bujhi bole para nai, kele koile jodi taikhan etu bujhi loi, tinehoile taikhan asis laga Probhu ke Cross te mari dibole thaka nai.
EN_NAG_00040	1CO_2_9	1 Corinthians	2	9	[English translation for 1 Corinthians 2:9]	Kintu Shastro te eneka likhi kene ase, “Ki suku pora dikha nai, Aru kan pora huni panai, Aru manu khan laga monte jinda huwa nai, Eitu khan sob Isor pora utu khan nimite taiyar kori kene ase jun Taike morom kore*.”
EN_NAG_00041	1CO_2_10	1 Corinthians	2	10	[English translation for 1 Corinthians 2:10]	Kilekoile Isor pora eitu khan sob Tai laga Atma pora he dikhai dise. Kilekoile Atma to sob bisari loi, Isor laga ekdom bhitor kotha khan bhi.
EN_NAG_00042	1CO_2_11	1 Corinthians	2	11	[English translation for 1 Corinthians 2:11]	Kile mane kun pora ekta manu laga bhabona janibole pare, tai laga bhitor te atma thaka ke chari kene? Thik etu nisena, kun manu bhi Isor laga bhabona janibo napare khali Tai laga bhitor te thaka Atma pora he jane†.
EN_NAG_00043	1CO_2_12	1 Corinthians	2	12	[English translation for 1 Corinthians 2:12]	Kintu amikhan etu prithibi laga atma ke luwa nai, hoile bhi Isor laga Atma jun Tai amikhan ke dise, titia juntu jinis Isor pora amikhan ke eku daam noloikene dise eitu khan ke jani lobo.
EN_NAG_00044	1CO_2_13	1 Corinthians	2	13	[English translation for 1 Corinthians 2:13]	Aru amikhan manu laga gyaan pora kotha khan nakoi, Atma pora sikhai diya kotha khan he koi, juntu kotha khan Atma pora amikhan ke koi, etu kotha khan atma te thaka manu khan ke bujhai diye.
EN_NAG_00045	1CO_2_14	1 Corinthians	2	14	[English translation for 1 Corinthians 2:14]	Kintu ekjon prithibi manu to Isor laga Atma laga kaam khan lobole na paribo, kele koile eitu * 2:9 Isa. 64:4; 65:16. † 2:11 Pro. 20:27. I Corinthians 2:15 vii I Corinthians 3:4 khan tai nimite murkho kotha ase, taikhan eitu khan nabuje kelemane taikhan ke bujhai dibole atma to nai.
EN_NAG_00046	1CO_2_15	1 Corinthians	2	15	[English translation for 1 Corinthians 2:15]	Kintu jun manu Atma te ase taikhan eitu khan sob bujhi bo pare, hoile bhi jun atma te nai, kintu tai nijorke dusra kun bhi bujhi bole napare.
EN_NAG_00047	1CO_3_16	1 Corinthians	3	16	[English translation for 1 Corinthians 3:16]	“Kilekoile kun pora Probhu laga bhabona jane? Kun pora Taike bujhai dibole pare? Kintu amikhan logote Khrista laga bhabona ase‡. 3 Mondoli Bhag Huwa
EN_NAG_00048	1CO_3_1	1 Corinthians	3	1	[English translation for 1 Corinthians 3:1]	Bhai khan, moi apnikhan ke atma te thaka manu khan nisena kotha kobole na paribo, kintu mangso te thaka manu nisena kobole lagibo, kele koile apnikhan Khrista te etiya bhi ekta chutu bacha nisena ase.
EN_NAG_00049	1CO_3_2	1 Corinthians	3	2	[English translation for 1 Corinthians 3:2]	Moi apnikhan ke dudh he khilai ase, aru tan bhat khila nohoi, kele koile apnikhan chabai kene bhat khabole para nai. Hoi, etiya tak bhi apnikhan etu khabole na paribo.
EN_NAG_00050	1CO_3_3	1 Corinthians	3	3	[English translation for 1 Corinthians 3:3]	Kilekoile apnikhan etiya bhi mangso te ase. Apnikhan ekjon-ekjon ke suku juli thake, aru apnikhan khali kotha pora jhagara kori thake. Eneka hoile apnikhan mangso te he ase nohoi, aru dusra manu nisena berai nohoi?
EN_NAG_00051	1CO_3_4	1 Corinthians	3	4	[English translation for 1 Corinthians 3:4]	Kunba pora koi, “Moi Paul logote ase,” aru dusra pora koi, “Moi Apollos logote ase,” titia hoile apnikhan mangso itcha te ase nohoi? ‡ 2:16 Isa. 40:13. I Corinthians 3:5 viii I Corinthians 3:13
EN_NAG_00052	1CO_3_5	1 Corinthians	3	5	[English translation for 1 Corinthians 3:5]	Apollos to kun ase? Aru Paul to kun ase? Ami duijon dwara apnikhan biswas te ahise, kintu amikhan to Isor laga noukar khan he ase, aru ami duijon to Isor pora diya kaam he kori ase.
EN_NAG_00053	1CO_3_6	1 Corinthians	3	6	[English translation for 1 Corinthians 3:6]	Moi bijon hali se, aru Apollos pora pani hali se, kintu Isor pora he etu ghas ke dangor hobole dise.
EN_NAG_00054	1CO_3_7	1 Corinthians	3	7	[English translation for 1 Corinthians 3:7]	Tinehoile, jun bijon hali se aru jun pani hali se etu to dorkar nai, kintu Isor jun pora etu ghas ke dangor hobole dise Tai he dorkar ase.
EN_NAG_00055	1CO_3_8	1 Corinthians	3	8	[English translation for 1 Corinthians 3:8]	Etiya, jun bijon hali se aru jun pani hali se etu duijon laga kaam to eke ase, aru duijon bhi taikhan laga kaam hisab te inam pabo.
EN_NAG_00056	1CO_3_9	1 Corinthians	3	9	[English translation for 1 Corinthians 3:9]	Kilekoile amikhan Isor laga kaam kora manu ase. Apnikhan to Tai laga kheti kora manu ase, aru Tai laga ghor ase.
EN_NAG_00057	1CO_3_10	1 Corinthians	3	10	[English translation for 1 Corinthians 3:10]	Isor laga anugrah hisab te juntu Tai pora amike ekta pucca ghor bona mistiri hobole dise, moi pora ekta bhal ghor bona bole bhetimul dise aru dusra khan to etu uporte he ghor bonai uthaise. Kintu taikhan ke hoshiar pora ghor to uthabole dibi.
EN_NAG_00058	1CO_3_11	1 Corinthians	3	11	[English translation for 1 Corinthians 3:11]	Kilekoile juntu bhetimul bonai kene rakhi loise, etu uporte aru notun ekta bhetimul bona bole na paribo, etu to Jisu Khrista ase*.
EN_NAG_00059	1CO_3_12	1 Corinthians	3	12	[English translation for 1 Corinthians 3:12]	Etiya, jodi kunba manu etu ghor laga asol pathor uporte suna, chandi, daam pathor ,khuri, nohoile bhi kher laga ghor khan bonai koile,
EN_NAG_00060	1CO_3_13	1 Corinthians	3	13	[English translation for 1 Corinthians 3:13]	sob kisim kaam khan to dikhibo paribo, kele koile etu din† laga ujala te sob dikhe, kelemane etu to jui pora he dikhai dibo. Jui * 3:11 Isa. 28:16. † 3:13 Bisar kora laga din. I Corinthians 3:14 ix I Corinthians 3:21 nijor pora he eitu khan ke julai kene bhal-biya kaam khan sob janai dibo.
EN_NAG_00061	1CO_3_14	1 Corinthians	3	14	[English translation for 1 Corinthians 3:14]	Jun manu laga kaam to jui pora jula nai, tai laga kaam nimite inam pabo;
EN_NAG_00062	1CO_3_15	1 Corinthians	3	15	[English translation for 1 Corinthians 3:15]	kintu jun manu laga kaam to jui pora julai diye, tai laga kaam khan sob nuksan hobo, hoile bhi tai to bachi jabo, jineka ekjon manu jui jula pora polaikene bachi jai.
EN_NAG_00063	1CO_3_16	1 Corinthians	3	16	[English translation for 1 Corinthians 3:16]	Apnikhan najane naki apnikhan to Isor laga ghor ase aru apnikhan bhitor te Tai laga Atma thake?
EN_NAG_00064	1CO_3_17	1 Corinthians	3	17	[English translation for 1 Corinthians 3:17]	Jun manu Isor laga ghor ke biya kori diye, Isor pora etu manu ke khotom kori dibo. Kilekoile Isor laga ghor to pobitro ase, juntu apuni he ase.
EN_NAG_00065	1CO_3_18	1 Corinthians	3	18	[English translation for 1 Corinthians 3:18]	Kun bhi nije ke nijor pora nathoka bhi. Jun etu jamana te apuni khan majote nijorke buddhi thaka manu bhabe, taike “murkho” hobole dibi titia tai buddhi thaka manu hoi jabo.
EN_NAG_00066	1CO_3_19	1 Corinthians	3	19	[English translation for 1 Corinthians 3:19]	Kilekoile etu prithibi laga buddhiman to Isor nimite murkho ase. Kile mane te Shastro te likhi kene ase, “Tai pora buddhiman khan ke taikhan laga nijor chal te phasai diye,‡”
EN_NAG_00067	1CO_3_20	1 Corinthians	3	20	[English translation for 1 Corinthians 3:20]	Arubi eneka likhi kene ase, “Probhu to buddhiman manu khan laga bhabona khan jane, aru eitu khan sob eku labh nathaka he ase§.”
EN_NAG_00068	1CO_3_21	1 Corinthians	3	21	[English translation for 1 Corinthians 3:21]	Etu karone, etu prithibi te kunke bhi manu khan karone phutani kori bole nadibo. Kilekoile eitu khan sob apnikhan laga he ase, ‡ 3:19 Job 5:13. § 3:20 Psa. 94:11. I Corinthians 3:22 x I Corinthians 4:5
EN_NAG_00069	1CO_3_22	1 Corinthians	3	22	[English translation for 1 Corinthians 3:22]	Paul hoile bhi, Apollos hoile bhi, Cephas hoile bhi, nohoile etu prithibi, aru jibon hoile bhi, nohoile mora, nohoile etu somoite thaka, nohoile ahibole thaka somoi. Eitu khan sob apnikhan laga he ase,
EN_NAG_00070	1CO_4_23	1 Corinthians	4	23	[English translation for 1 Corinthians 4:23]	aru apnikhan to Khrista laga ase, aru Khrista to Isor laga ase. 4 Apostle Khan Laga Porisorja
EN_NAG_00071	1CO_4_1	1 Corinthians	4	1	[English translation for 1 Corinthians 4:1]	Manu khan pora apnikhan ke Khrista ke sewa kora manu bhabibo lage, aru manu khan ke Isor laga lukai kene thaka kotha khan bujhai dibole jimedari dikene thaka manu nisena hobo lage.
EN_NAG_00072	1CO_4_2	1 Corinthians	4	2	[English translation for 1 Corinthians 4:2]	Etiya, eneka kaam kora manu khan pora ki itcha ase koile, taikhan ke ekta biswas te thik thaka pabo lage.
EN_NAG_00073	1CO_4_3	1 Corinthians	4	3	[English translation for 1 Corinthians 4:3]	Kintu apnikhan pora, nohoile etu prithibi laga faisla pora moike bisar kora to moi nimite bisi mamuli kotha ase. Kilekoile moi nijorke nijor pora bhi bisar nakore.
EN_NAG_00074	1CO_4_4	1 Corinthians	4	4	[English translation for 1 Corinthians 4:4]	Kile mane ami nijor jani ase ami laga eku golti nai, kintu ami etu jana karone ami nimite kafi nohoi. Hoile bhi Probhu he ekjon ase Jun he amike bisar koribo*.
EN_NAG_00075	1CO_4_5	1 Corinthians	4	5	[English translation for 1 Corinthians 4:5]	Etu karone Probhu laga chuni luwa somoi naha age te bisar na koribi. Tai pora he andhar laga kaam khan aru mon laga bhabona duita ke bhi ujala te sob dikhai dibo. Etu pichete Isor laga stuti kori bole ekjon-ekjon uporte ahibo. * 4:4 Psa. 19:12. I Corinthians 4:6 xi I Corinthians 4:11
EN_NAG_00076	1CO_4_6	1 Corinthians	4	6	[English translation for 1 Corinthians 4:6]	Etiya, bhai khan, etu kaam khan moi aru Apollos pora apnikhan nimite he kori kene ahise, eneka hoile amikhan pora he apnikhan sikhi jabo: “Ji likha ase, khali etu te he thakibi,” Titia hoile he ekjon pora ekjon ke dangor-chutu ase koi kene nasabo.
EN_NAG_00077	1CO_4_7	1 Corinthians	4	7	[English translation for 1 Corinthians 4:7]	Kilekoile apnikhan ke kun pora dangor bonai? Apnikhan logote ki ase juntu apnikhan ke diya nohoi? Tinehoile apnikhan ke sob diya ase koile, kele apnikhan to nijor pora paise koi kene phutani kore?
EN_NAG_00078	1CO_4_8	1 Corinthians	4	8	[English translation for 1 Corinthians 4:8]	Etiya pora he apnikhan sob ase koi kene khushi ase! Etiya pora he apnikhan nijorke dhuni ase bhabi ase! Apnikhan amikhan ke chari kene nijor he raj koribo bhabi ase, aru ami laga itcha to apuni hosa pora bhi raj korile bhal, eneka hoile he amikhan bhi apuni logote raj koribo.
EN_NAG_00079	1CO_4_9	1 Corinthians	4	9	[English translation for 1 Corinthians 4:9]	Kile mane moi hisab te Isor pora apostle khan ke sob pora pichete rakhise, jineka mora laga sajai diya nisena. Kilekoile amikhan to etu prithibi pora sabole jinis ekta nisena hoi jaise- sorgodoth aru manu khan duijon ke bhi.
EN_NAG_00080	1CO_4_10	1 Corinthians	4	10	[English translation for 1 Corinthians 4:10]	Amikhan Khrista karone murkho ase, kintu apnikhan to Khrista te gyaani ase. Amikhan to komjur ase, kintu apnikhan takot ase. Apnikhan to sonman pai, kintu amikhan to sonman napai.
EN_NAG_00081	1CO_4_11	1 Corinthians	4	11	[English translation for 1 Corinthians 4:11]	Etiya laga somoi tak bhi amikhan sob pyaas aru bhuk lagi ase, aru amikhan ekdom biya kapra lagaikena ase, aru amikhan ke biya pora marise, aru amikhan laga thaki bole ghor bhi nai. I Corinthians 4:12 xii I Corinthians 4:19
EN_NAG_00082	1CO_4_12	1 Corinthians	4	12	[English translation for 1 Corinthians 4:12]	Amikhan bisi dukh pora kaam kore, amikhan nijor laga hath pora kore. Jitia manu khan pora amikhan ke hinsa kore, amikhan taikhan ke asis kore. Jitia amikhan uporte Isor kaam nimite dukh digdar pai, amikhan eitu khan dhorjo kori loi.
EN_NAG_00083	1CO_4_13	1 Corinthians	4	13	[English translation for 1 Corinthians 4:13]	Jitia manu pora amikhan laga biya kotha koi, taikhan ke bhal kotha pora jawab diye. Kintu manu pora amikhan ke etiya tak bhi etu prithibi laga letera jhabara nisena bhabi ase.
EN_NAG_00084	1CO_4_14	1 Corinthians	4	14	[English translation for 1 Corinthians 4:14]	Moi etu apnikhan ke sorom khila bole nimite likha nohoi, kintu apnikhan ke moi morom kori thaka bacha khan nisena sikhai ase.
EN_NAG_00085	1CO_4_15	1 Corinthians	4	15	[English translation for 1 Corinthians 4:15]	Kilekoile jodi apnikhan logote Khrista te dos hajar sai diya sipahi thakilebi, apnikhan logote bisi baba khan nathakibo. Kilekoile moi apnikhan laga baba hoise juntu Khrista Jisu laga susamachar pora he hoise.
EN_NAG_00086	1CO_4_16	1 Corinthians	4	16	[English translation for 1 Corinthians 4:16]	Etu karone moi apnikhan ke moi nisena koribi koi kene mangi ase.
